ALTURA GPSALT LAT LONG Line MAGIGRF X Y
206.85 629.73 -16.123534 -51.273293 22640 105.588 8217374.55 470777.74
207.84 637.13 -16.124489 -51.273352 22640 106.314 8217268.84 470771.64
204.87 644.67 -16.125439 -51.273391 22640 109.341 8217163.75 470767.63
198.85 651.93 -16.126375 -51.273405 22640 107.049 8217060.19 470766.28
194.75 660.0 -16.127306 -51.273413 22640 92.35 8216957.26 470765.52
202.82 668.87 -16.128225 -51.273416 22640 73.083 8216855.55 470765.36
212.94 677.47 -16.129139 -51.27341 22640 61.848 8216754.46 470766.09
220.94 684.18 -16.130045 -51.273377 22640 57.017 8216654.3 470769.79
233.04 690.33 -16.13095 -51.27333 22640 59.53 8216554.13 470774.97
235.09 696.32 -16.131853 -51.27328 22640 68.721 8216454.28 470780.45
231.05 702.33 -16.132759 -51.273243 22640 80.491 8216354.11 470784.44
232.04 709.87 -16.133661 -51.27323 22640 95.598 8216254.25 470786.06
235.09 718.83 -16.134559 -51.273232 22640 114.944 8216155.01 470785.89
241.1 728.31 -16.13545 -51.273263 22640 138.792 8216056.37 470782.76
247.19 737.65 -16.136336 -51.273316 22640 167.77 8215958.34 470777.24
245.2 747.13 -16.137217 -51.273371 22640 194.6 8215860.93 470771.43
241.1 755.9 -16.138097 -51.273418 22640 211.465 8215763.52 470766.51
236.08 763.35 -16.138972 -51.273454 22640 219.166 8215666.72 470762.78
221.0 770.19 -16.139847 -51.273491 22640 219.896 8215569.93 470759.05
196.8 775.76 -16.14072 -51.273499 22640 212.734 8215473.45 470758.29
174.58 782.38 -16.141586 -51.273504 22640 200.731 8215377.58 470757.82
157.88 789.82 -16.142453 -51.273507 22640 186.998 8215281.71 470757.65
140.21 795.98 -16.143314 -51.273499 22640 168.73 8215186.46 470758.67
129.99 801.47 -16.144172 -51.273485 22640 149.227 8215091.51 470760.28
118.87 807.71 -16.145031 -51.273466 22640 135.359 8214996.57 470762.49
116.28 814.08 -16.145886 -51.273435 22640 122.056 8214901.93 470765.88
113.39 819.62 -16.146739 -51.273396 22640 106.752 8214807.61 470770.16
109.27 826.07 -16.147586 -51.273335 22640 84.938 8214713.9 470776.82
106.98 832.22 -16.148434 -51.273277 22640 67.795 8214620.19 470783.18
112.47 837.26 -16.149281 -51.273218 22640 51.735 8214526.48 470789.54
108.2 842.71 -16.150125 -51.273149 22640 50.1 8214433.08 470797.09
98.14 847.01 -16.150972 -51.273077 22640 47.988 8214339.38 470804.94
85.65 851.96 -16.151822 -51.273013 22640 44.559 8214245.36 470811.89
86.72 858.41 -16.152675 -51.272949 22640 34.597 8214151.04 470818.85
86.26 865.08 -16.153528 -51.272891 22640 20.54 8214056.71 470825.21
89.16 868.83 -16.154392 -51.27286 22640 30.284 8213961.16 470828.6
102.41 868.84 -16.155264 -51.272832 22640 46.854 8213864.68 470831.7
