 ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
78 104.85 -421.01 -16.152631 -51.277978999999995 22630 -131.6541405907302 -60.20649962193637 26.533 8214155.23 470281.02
79 120.03 -420.27 -16.151559 -51.278016 22630 -113.63540642838112 -42.307814545760756 42.648 8214273.83 470277.0
80 127.96 -416.75 -16.150478 -51.278038 22630 -89.34937680685353 -18.160910519698405 65.021 8214393.36 470274.46
81 118.02 -411.69000000000005 -16.149384 -51.278052 22630 -80.92429786315748 -9.887806237391729 71.512 8214514.42 470272.81
82 119.18 -405.67999999999995 -16.148278 -51.278059999999996 22630 -43.331866544787744 27.543706421789537 107.15299999999999 8214636.71 470271.76
83 121.55 -398.26 -16.147160999999997 -51.278068 22630 -51.327809706042274 19.385219341645566 97.186 8214760.23 470270.7
84 119.0 -389.97 -16.146036 -51.278074 22630 -67.13306017547872 3.4125060029686836 79.396 8214884.68 470269.94
85 116.46 -380.44000000000005 -16.144897 -51.278074 22630 -60.83114338220798 9.53771024046145 83.691 8215010.66 470269.77
86 119.91 -370.24 -16.14375 -51.278063 22630 -31.23697244338679 38.93970568254096 111.26799999999999 8215137.56 470270.78
87 123.23 -360.38 -16.142592 -51.278043 22630 -4.164567070385971 65.80739218161162 136.30700000000002 8215265.69 470272.69
88 129.72 -351.37 -16.141428 -51.278017999999996 22630 8.59851344116521 78.35779532579002 147.029 8215394.44 470275.19
89 151.88 -342.48 -16.14025 -51.277993 22630 26.793156350534446 96.33769575109761 163.158 8215524.73 470277.68
90 157.82 -333.95000000000005 -16.13907 -51.277971 22630 31.81865755906415 101.15150820759108 166.112 8215655.32 470279.88
91 154.75 -325.35 -16.137881 -51.277957 22630 29.852285956779667 98.98280644116882 162.056 8215786.84 470281.19
92 153.68 -316.36 -16.136689 -51.277946 22630 27.80880991835403 96.74017394994283 157.917 8215918.66 470282.2
93 157.55 -306.77 -16.135492000000003 -51.277935 22630 3.0910483807057574 71.822390434455 131.094 8216051.09 470283.21
94 173.39 -295.33000000000004 -16.134289000000003 -51.277913 22630 -23.50827389939525 45.0078889242898 102.384 8216184.14 470285.41
95 195.81 -282.54999999999995 -16.133078 -51.277888 22630 -47.055025477072846 21.241173334440504 76.71300000000001 8216318.11 470287.9
96 202.82 -269.28 -16.131856 -51.277863 22630 -68.54718879908776 -0.47269923875723663 53.077 8216453.31 470290.39
97 184.5 -259.95000000000005 -16.130625 -51.27786 22630 -34.698672494024905 33.18134332065908 84.758 8216589.44 470290.5
98 204.87 -254.39999999999998 -16.129392000000003 -51.277885 22630 39.9074925266066 107.6281369931852 157.181 8216725.86 470287.65
99 221.6 -247.79999999999995 -16.128156 -51.277927000000005 22630 44.880264803052114 112.46257436157082 159.959 8216862.59 470283.01
100 221.4 -239.20000000000005 -16.126917000000002 -51.277978999999995 22630 17.6782492002001 85.13607572085641 130.553 8216999.62 470277.18
101 219.55 -228.83000000000004 -16.125678 -51.278034999999996 22630 -2.73348920803528 64.60343946521445 107.936 8217136.66 470271.05
102 219.35 -218.14 -16.124431 -51.278085 22630 -6.714971373161887 60.49256950080733 101.73700000000001 8217274.61 470265.52
103 212.34 -208.35000000000002 -16.123178 -51.278116 22630 -2.308171583477531 64.74413189119167 103.92399999999999 8217413.19 470262.07
104 204.41 -199.63 -16.121923000000002 -51.278121 22630 -1.5485065763060675 65.3162193337437 102.469 8217552.07 470261.28
105 194.95 -191.61 -16.120664 -51.278107 22630 -3.7246930105721674 62.926939801448874 98.081 8217691.26 470262.58
106 187.48 -184.82000000000005 -16.119403 -51.278082 22630 -13.263217810626287 53.160590319192934 86.33 8217830.77 470265.07
107 184.7 -178.73000000000002 -16.118142000000002 -51.278059999999996 22630 -19.802746659595172 46.396970335660214 77.577 8217970.27 470267.25
108 186.29 -173.30999999999995 -16.116884 -51.278038 22630 -17.758090396582546 48.21784115284879 77.413 8218109.47 470269.44
109 188.14 -167.69000000000005 -16.115631 -51.278024 22630 -13.697991331626 52.0657126448149 79.271 8218248.05 470270.74
110 180.2 -161.76999999999998 -16.114378 -51.278013 22630 -11.676774326160398 53.878301456681776 79.089 8218386.63 470271.74
111 165.53 -156.13 -16.113128 -51.278002 22630 -27.690494198137344 37.656393248092385 60.876999999999995 8218524.9 470272.74
112 155.2 -150.88 -16.111881 -51.27798 22630 -42.85142619081674 22.27342104860394 43.527 8218662.87 470274.93
113 150.12 -145.53999999999996 -16.110634 -51.277938 22630 -59.721268491800586 5.156597032634803 24.476 8218800.83 470279.2
